year,resource,variable,units,magnitude,source,data_value,flag
2007,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,86656,R
2007,Biogas,Generation,Gigawatt hours,Actual,MBIE,224,F
2007,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5199,R
2007,Coal,Generation,Gigawatt hours,Actual,MBIE,4786,F
2007,Gas,Generation,Gigawatt hours,Actual,MBIE,8634,F
2007,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1241800,R
2007,Geothermal,Generation,Gigawatt hours,Actual,MBIE,3210,F
2007,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.08,F
2007,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,74508,R
2007,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9380001,R
2007,Hydro,Generation,Gigawatt hours,Actual,MBIE,24249,F
2007,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.58,F
2007,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,562800,R
2007,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2007,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,11058801,R
2007,Renewable,Generation,Gigawatt hours,Actual,MBIE,28589,F
2007,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.68,F
2007,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,663528,R
2007,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.68,F
2007,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,326,F
2007,Solar,Generation,Gigawatt hours,Actual,MBIE,1,F
2007,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2007,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Solar,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,20,F
2007,Total generation,Generation,Gigawatt hours,Actual,MBIE,42083,F
2007,Total generation,Prices,Number,Average,Electricity Authority,60,F
2007,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,976700,R
2007,Waste heat,Generation,Gigawatt hours,Actual,MBIE,71,F
2007,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,233559,R
2007,Wind,Generation,Gigawatt hours,Actual,MBIE,604,F
2007,Wind,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Wind,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,14014,R
2007,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,116459,R
2007,Wood,Generation,Gigawatt hours,Actual,MBIE,301,F
2007,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Wood,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,6988,R
2008,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,83903,R
2008,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2008,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2008,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,86656,R
2008,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-2753,R
2008,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5034,R
2008,Coal,Generation,Gigawatt hours,Actual,MBIE,3245,F
2008,Gas,Generation,Gigawatt hours,Actual,MBIE,11551,F
2008,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1397840,R
2008,Geothermal,Generation,Gigawatt hours,Actual,MBIE,3417,F
2008,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.08,F
2008,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1241800,R
2008,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,156040,R
2008,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,83870,R
2008,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9251693,R
2008,Hydro,Generation,Gigawatt hours,Actual,MBIE,22616,F
2008,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2008,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9380001,R
2008,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-128308,R
2008,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,555102,R
2008,Oil,Generation,Gigawatt hours,Actual,MBIE,27,F
2008,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,11288013,R
2008,Renewable,Generation,Gigawatt hours,Actual,MBIE,27594,F
2008,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.65,F
2008,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,11058801,R
2008,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,229212,R
2008,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,677281,R
2008,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.65,F
2008,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1384,R
2008,Solar,Generation,Gigawatt hours,Actual,MBIE,3,F
2008,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2008,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,326,F
2008,Solar,Other changes,Dollars,Thousands,Environmental Accounts,1058,R
2008,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,83,F
2008,Total generation,Generation,Gigawatt hours,Actual,MBIE,42464,F
2008,Total generation,Prices,Number,Average,Electricity Authority,70,F
2008,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1042266,R
2008,Waste heat,Generation,Gigawatt hours,Actual,MBIE,47,F
2008,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,422300,R
2008,Wind,Generation,Gigawatt hours,Actual,MBIE,1032,F
2008,Wind,Gigawatt hours,Number,Proportion,MBIE,0.02,F
2008,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,233559,R
